filename,palette
Pic (141).jpg,"#5ca4c9, #3276a0, #a5cfec, #581a08, #b5541f, #8a3c11, #bc7c56, #8c735f, #cdf0fa"
Pic (88).jpg,"#168c8d, #488488, #50b8c0, #225e63, #7dcddb, #6e4f36, #102520, #7a8781, #cfcdc9"
Pic (17).jpg,"#1b6ac4, #533a35, #a6664e, #cd8568, #8b4d2b, #eed5b2, #d0be99, #bcac74, #241c1f"
Pic (101).jpg,"#844c1a, #bc8444, #ccb498, #c29b65, #6b573a, #efdec0, #2a2c24, #70787a, #cbd7eb"
Pic (324).jpg,"#b41420, #720c12, #ab624f, #b55a14, #df781c, #6e624a, #dcc05e, #829b6d, #aea58f"
Pic (62).jpg,"#3d9cd3, #255dc0, #4c76c7, #0f31ab, #ad5a0c, #8c7e6d, #bfc920, #97be16, #8ab78e"
Pic (78).jpg,"#2488b0, #8295a9, #c84216, #ec8034, #c9bb9d, #94d33a, #6bbe15, #44af24, #12180a"
Pic (86).jpg,"#cc3611, #6e351d, #a35513, #b5861a, #e6a915, #f8e02a, #1ac632, #1f1d28, #b6b9c0"
Pic (156).jpg,"#7ab6f3, #aa9983, #e4e025, #95bf1f, #ceee81, #8fe264, #60d56e, #0cca8d, #1e1b12"
Pic (104).jpg,"#42729d, #c3ac95, #e1cf19, #d2e786, #343a20, #749017, #9fcd17, #1cba63, #bccbe1"
Pic (269).jpg,"#545c94, #4b4e6f, #8486c4, #a08780, #7d5f51, #1e1b2c, #b7a098, #e2d8d7"
Pic (196).jpg,"#db390f, #a9391a, #e8724f, #3d1a0e, #793b1b, #97752c, #93a517, #aebc55, #ccced3"
Pic (177).jpg,"#84a4c4, #546c94, #a45464, #775047, #652a15, #c2a799, #ae907f, #312a31, #e5e1e7"
Pic (144).jpg,"#248aa1, #b84e32, #8a3916, #cdb592, #87bd3d, #86bc92, #448863, #1c875c, #42b690"
Pic (275).jpg,"#5aa1a4, #0e9fb3, #e75bc3, #b71680, #7c0f2c, #b79f92, #b14e17, #b57548, #7e7261"
Pic (181).jpg,"#12a5a5, #57749a, #f33da9, #d6166d, #a8312e, #5d433c, #dd953d, #947141, #292b25"
Pic (95).jpg,"#66dcdc, #9e5c3c, #7e5815, #b18923, #3c9e64, #3dc9a6, #73b6a9, #807973, #bfbcb6"
Pic (260).jpg,"#44649c, #c0402c, #7a2c1d, #7c6229, #c5ae43, #18be93, #85b7ab, #948a80, #c2c4b7"
Pic (94).jpg,"#84a4a9, #b66c4a, #c09777, #804f25, #5b4b3a, #8b7761, #c4b59c, #21231f, #6c7f7d"
Pic (42).jpg,"#293e62, #54649c, #777fa0, #ad978a, #8c440c, #6e6257, #a2722a, #c8bc94, #cfccce"
Pic (57).jpg,"#524591, #8c402c, #643e2f, #775d4f, #d5a686, #bc8c64, #a06c3c, #e6ccae, #281f1a"
Pic (153).jpg,"#c84e4c, #c42e2b, #f17f69, #9c4c3a, #8d390c, #bf5d22, #6c5e55, #a89844, #9a9fa0"
Pic (49).jpg,"#a1150b, #da7068, #752013, #dc2608, #d06d1c, #eab90b, #383231, #b2b4b8, #e1dee1"
Pic (219).jpg,"#47a3f5, #0d54c0, #98190d, #d62508, #d86a19, #ecbc0d, #363034, #6f7376, #b2b6bc"
Pic (98).jpg,"#ac3c05, #bc8a71, #e4743c, #624b3f, #e0b197, #56321e, #9a6849, #251c17, #cfc6c8"
Pic (77).jpg,"#bf4e19, #d29676, #ce7d49, #b4b444, #93c0aa, #0c9153, #2dcc8d, #232621, #ddd4ce"
Pic (198).jpg,"#91250a, #c88169, #c23c0d, #d27342, #9b8678, #05b043, #4bcf88, #a3a4aa, #e7e2dd"
Pic (13).jpg,"#7caccc, #346cac, #8a555c, #b46464, #883935, #b4847c, #171314, #7a7c83, #c5c5c2"
Pic (30).jpg,"#6cacdc, #3c74ac, #a1b6cc, #1f3456, #5e2c1f, #885444, #767582, #919095, #b1a5a4"
Pic (132).jpg,"#84b6d9, #447cb4, #93585f, #8c393e, #3c2526, #bc6c6c, #6b1b14, #16151a, #abb9c5"
Pic (174).jpg,"#447cac, #7cacd8, #233556, #843734, #6a1710, #b46c5c, #6e5d5b, #a29693, #acbbc8"
Pic (233).jpg,"#8cb4da, #4c7cac, #214b7d, #0e1e3b, #a44c54, #6e2222, #7a7c7e, #9d8f8c, #c5c0bb"
Pic (247).jpg,"#548cbc, #84b4e4, #255388, #bfd6f1, #862e2c, #928464, #17151a, #99a6ba, #cbcac7"
Pic (299).jpg,"#84b4d4, #4276ae, #c48995, #bd6c74, #701e17, #91352a, #1c191d, #504c4e, #b2c2d0"
Pic (107).jpg,"#843404, #987b40, #c39434, #8f700e, #d6c071, #6b6c2d, #a6a965, #7c9e36, #d4d4d5"
Pic (22).jpg,"#5c9ccb, #7cbbee, #447cb0, #6c311c, #785925, #bc994f, #bbab7a, #867f78, #d0d6dc"
Pic (16).jpg,"#206ea8, #d0252f, #962119, #5e3221, #ca9144, #dcad68, #88ad3b, #1a1e1a, #bdcdd1"
Pic (109).jpg,"#1278d2, #546996, #733b1a, #b3802d, #b59968, #ddab46, #f4e4b2, #231a1e, #b9aca1"
Pic (300).jpg,"#486c96, #0561d0, #364968, #c5b19d, #a7957c, #6caf8e, #499474, #272026, #686d74"
Pic (161).jpg,"#97b9eb, #f6445c, #c12e36, #841919, #5e110e, #9a6455, #b78951, #403c04, #d1d2de"
Pic (85).jpg,"#748cb4, #374a7c, #b43e22, #855f40, #ddac78, #a69675, #151315, #7e848c, #d4d4d5"
Pic (216).jpg,"#44647c, #084c97, #542c1e, #958579, #704b2e, #b8a08a, #816851, #eec484, #191c2a"
Pic (158).jpg,"#5474b4, #971a20, #c46c38, #a36e21, #d2a444, #517c34, #181815, #777564, #d2c8c9"
Pic (133).jpg,"#67a3c9, #367ba7, #ad180a, #7d1909, #a56450, #ba9c82, #e16f0b, #76624a, #4e422d"
Pic (84).jpg,"#8ca4bb, #5c7c9c, #262e3e, #8e5c6c, #6b534c, #bda062, #bdb58f, #b5b8c0, #d7dbe3"
Pic (193).jpg,"#695143, #693e1d, #bc9271, #a87d3e, #e1b973, #b78311, #f7df2d, #261d1e, #e1ddd4"
Pic (87).jpg,"#557fc1, #0c449c, #6292e6, #bd3361, #8d2033, #663d41, #8c595d, #c5999a, #b65f3c"
Pic (314).jpg,"#3c6cb0, #78a8f2, #6b7db0, #9aa7d1, #ca7470, #9f4841, #661309, #eca494, #270b09"
Pic (197).jpg,"#8e4405, #c08615, #664d15, #e0b84b, #dcb022, #f4dd5c, #b0a824, #221b14, #b4aaa3"
Pic (190).jpg,"#3c60ac, #808fbc, #1c347c, #74443c, #b7b770, #84a45a, #93857f, #9eb6ad, #c4c8d0"
Pic (105).jpg,"#47556d, #1c346a, #54699c, #bcc8e8, #1c1c46, #561b19, #4c3d3c, #716965, #899e9e"
Pic (28).jpg,"#c52c1c, #8a2c15, #491e11, #bb7a2f, #985c12, #cfa24c, #e5c024, #f7df54, #1b1811"
Pic (309).jpg,"#d41d0d, #582e28, #9e730f, #c19313, #cead41, #aa903a, #e8dc79, #1a171a, #c4c5d2"
Pic (295).jpg,"#b51925, #89360e, #c3b092, #a7884a, #987b20, #d2a20a, #3b361a, #6a840e, #141507"
Pic (323).jpg,"#b41410, #913508, #a56723, #c4b091, #a0855a, #ca980d, #595f12, #748022, #8ca434"
Pic (160).jpg,"#48a4e1, #3d6688, #0f63b3, #10437b, #f44c74, #da212b, #844a41, #8e7d66, #35312f"
Pic (96).jpg,"#7bbccc, #4b99b0, #115882, #2577a8, #758c9a, #313b49, #bc383f, #7a0a0a, #a5968d"
Pic (151).jpg,"#98d6f9, #094c94, #2d64a1, #b23634, #862019, #c2aa9a, #834e16, #938e6b, #13110c"
Pic (60).jpg,"#6c7f94, #9c6c5c, #dfbfaf, #6d3211, #6f583a, #a49075, #191511, #586167, #b7b2b3"
Pic (29).jpg,"#804494, #b464a9, #8b2e19, #8c4d33, #c0845d, #cda387, #e69a1e, #211516, #bda3c6"
Pic (189).jpg,"#9a95bd, #ac5b9a, #a44478, #521018, #7a2022, #c09287, #a85541, #804e3e, #191416"
Pic (23).jpg,"#2fb3f8, #0f82dd, #2d72ba, #6191cd, #094fba, #072b85, #b8a091, #a58127, #c1cce0"
Pic (253).jpg,"#92adc3, #57aaee, #1570c4, #4e77b4, #0845a9, #8e664e, #cb9457, #8b6315, #d0d7e2"
Pic (230).jpg,"#349cf2, #145ac6, #362426, #d3210c, #9d3c18, #753c26, #96632e, #f5db21, #caddf3"
Pic (7).jpg,"#44a3d7, #227cc5, #fa49b6, #e62785, #886c67, #c29024, #f7d920, #9faab2, #d6d7de"
Pic (213).jpg,"#3d75ba, #c55eae, #921a53, #d04361, #8a430c, #b08d2e, #363736, #7d8b98, #deeaf4"
Pic (329).jpg,"#989ebe, #650c7a, #8c2709, #c47454, #936b20, #acb451, #157241, #9b8e88, #ccc2c4"
Pic (166).jpg,"#9b280b, #de3c11, #d4a169, #9c601e, #df8e2c, #6fb83b, #91c77e, #231a11, #c9b7a6"
Pic (51).jpg,"#8f1c06, #cc5e18, #b38b6e, #b87542, #a05f14, #684922, #ecb874, #291a0d, #c9c9cb"
Pic (149).jpg,"#4c4a5b, #7d241d, #844d43, #ad3017, #bd806b, #d36832, #eea95d, #f0ca94, #1a6f55"
Pic (159).jpg,"#93c7e9, #bc3508, #de591c, #dbb848, #c8a412, #635c2e, #e0da15, #bcdc31, #2d240f"
Pic (81).jpg,"#708faf, #7a1405, #ad2404, #b14e18, #eb7920, #edd5c2, #6e5e51, #f2a451, #252525"
Pic (40).jpg,"#6d5860, #591106, #673228, #895343, #ce7357, #ac4414, #d09c7c, #2d1818, #e9dce2"
